Attribute;Attribute_ID
Popular brand;1
Trusted brand;2
Nice environment design;3
Clean;4
Good place for working / business meeting;5
Comfortable and relaxing environment;6
Good coffee taste;7
Convenient location;8
Good place for relaxing;9
Friendly staff;10
Good ice-blended taste;11
Good place for socializing with colleagues;12
Good place for socializing with friends;13
Good place for socializing with family;14
High speed of internet;15
Good value for money;16
Quick speed of service;17
Good other beverages (other than coffee, tea & ice-blended);18
Good tea taste;19
Good music;20
Feel I belong here;21
Recommended by others;22
Have new product regularly;23
Good place for studying;24
Good place for socializing;25
Diversified menu;26
Good place for working / studying;27
Delicious food;28
